Key,English,Spanish
Message.NextQuestion,Next Question,Próxima Pregunta
Message.Settings,Settings,Herramientas
Message.Skull,Skull,El Cráneo
Message.Scapula,Scapula,La Escápula
Message.Clavicle,Clavicle,La Clavícula
